DataInicial,DataFinal,Cd_AnoExecucao,Cd_Exercicio,Administracao,Cd_Orgao,Sigla_Orgao,Ds_Orgao,Cd_Unidade,Ds_Unidade,Cd_Funcao,Ds_Funcao,Cd_SubFuncao,Ds_SubFuncao,Cd_Programa,Ds_Programa,PA,PAPA,ProjetoAtividade,Ds_Projeto_Atividade,Cd_Despesa,Ds_Despesa,Categoria_Despesa,Ds_Categoria,Grupo_Despesa,Ds_Grupo,Cd_Modalidade,Ds_Modalidade,Cd_Elemento,Cd_Fonte,Ds_Fonte,Cd_Nro_Emenda_Dotacao,Vl_Orcado_Ano,Vl_Suplementado,Vl_Reduzido,Vl_SuplementadoLiquido,Vl_SuplementadoEmTramitacao,Vl_ReduzidoEmTramitacao,Vl_Orcado_Atualizado,Vl_Congelado,Vl_Descongelado,Vl_CongeladoLiquido,Disponivel,Vl_ReservadoLiquido,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago,DataExtracao
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,4,Administração,122,Administração Geral,3021,"Qualidade, eficiência e sustentabilidade do orçamento público",Projetos,Projetos,9205,"Projetos Oriundos de Recursos com Desestatizações, Concessões e Parcerias",44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,8,Tesouro Municipal - Recursos Vinculados,,3594829,0,3594829,-3594829,0,0,0,3594829,3594829,0,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,4,Administração,122,Administração Geral,3021,"Qualidade, eficiência e sustentabilidade do orçamento público",Projetos,Projetos,9205,"Projetos Oriundos de Recursos com Desestatizações, Concessões e Parcerias",44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,936996000,0,"539275406,03","-539275406,03",0,0,"397720593,97",1034096000,"636375406,03","397720593,97",0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,181,Policiamento,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,181,Policiamento,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,181,Policiamento,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,181,Policiamento,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,44906100,Aquisição de Imóveis,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,61,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,181,Policiamento,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,45905200,Equipamentos e Material Permanente,4,Despesas de Capital,5,INVERSOES FINANCEIRAS,90,Aplicações Diretas,52,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,181,Policiamento,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,45906100,Aquisição de Imóveis,4,Despesas de Capital,5,INVERSOES FINANCEIRAS,90,Aplicações Diretas,61,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,183,Informação e Inteligência,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,183,Informação e Inteligência,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,183,Informação e Inteligência,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,183,Informação e Inteligência,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,44906100,Aquisição de Imóveis,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,61,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,183,Informação e Inteligência,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,45905200,Equipamentos e Material Permanente,4,Despesas de Capital,5,INVERSOES FINANCEIRAS,90,Aplicações Diretas,52,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,6,Segurança Pública,183,Informação e Inteligência,3013,Prevenção e Proteção às Vítimas da Violência,Projetos,Projetos,3015,Projetos de Segurança Urbana Oriundos de Recursos de Desestatizações e Parcerias,45906100,Aquisição de Imóveis,4,Despesas de Capital,5,INVERSOES FINANCEIRAS,90,Aplicações Diretas,61,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,8,Assistência Social,241,Assistência ao Idoso,3023,Proteção à população em situação de vulnerabilidade,Projetos,Projetos,3013,Projetos de Assistência Social Oriundos de Recursos de Desestatizações e Parcerias,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,8,Assistência Social,241,Assistência ao Idoso,3023,Proteção à população em situação de vulnerabilidade,Projetos,Projetos,3013,Projetos de Assistência Social Oriundos de Recursos de Desestatizações e Parcerias,44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,8,Assistência Social,241,Assistência ao Idoso,3023,Proteção à população em situação de vulnerabilidade,Projetos,Projetos,3013,Projetos de Assistência Social Oriundos de Recursos de Desestatizações e Parcerias,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,8,Assistência Social,241,Assistência ao Idoso,3023,Proteção à população em situação de vulnerabilidade,Projetos,Projetos,3013,Projetos de Assistência Social Oriundos de Recursos de Desestatizações e Parcerias,44906100,Aquisição de Imóveis,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,61,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
2019-01-01,2019-12-31,2019,2019,Direta,7,FMD       ,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,8,Assistência Social,241,Assistência ao Idoso,3023,Proteção à população em situação de vulnerabilidade,Projetos,Projetos,3013,Projetos de Assistência Social Oriundos de Recursos de Desestatizações e Parcerias,45905200,Equipamentos e Material Permanente,4,Despesas de Capital,5,INVERSOES FINANCEIRAS,90,Aplicações Diretas,52,10,Alienação de Bens/Ativos,,1000,0,0,0,0,0,1000,1000,0,1000,0,0,0,0,0,07-out-20
