Cd_Exercicio,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago
2020,7,FMD,Projetos,44905100,250000000,0,250000000,0,0,0,0
2020,7,FMD,Projetos,44905100,1000000,0,1000000,0,0,0,0
2020,7,FMD,Projetos,44905200,1000000,0,1000000,0,0,0,0
2020,7,FMD,Projetos,44905100,1000000,0,1000000,0,0,0,0
2020,7,FMD,Projetos,44903900,2000000,0,2000000,0,0,0,0
2020,7,FMD,Projetos,44905100,1000000,0,1000000,0,0,0,0
2020,7,FMD,Projetos,44905100,4000000,0,4000000,0,0,0,0
2020,7,FMD,Projetos,44905100,1000000,0,1000000,0,0,0,0
2020,7,FMD,Projetos,44903900,66937,0,66937,0,0,0,0
2020,7,FMD,Projetos,44903900,394190,0,394190,0,0,0,0
2020,7,FMD,Projetos,44903900,434778,0,434778,0,0,0,0
2020,7,FMD,Projetos,44905100,2000000,0,2000000,0,0,0,0
2020,7,FMD,Projetos,44905100,500000,0,500000,0,0,0,0
2020,7,FMD,Projetos,44905100,249104091,0,249104091,0,0,0,0
2020,7,FMD,Projetos,44905100,2000000,0,2000000,0,0,0,0
2020,7,FMD,Projetos,44905100,30000000,30000000,30000000,0,0,0,0
2020,7,FMD,Projetos,44905100,220000000,0,220000000,0,0,0,0
2020,7,FMD,Projetos,44905100,43890000,0,"41017906,7","2872093,3",0,0,0
2020,7,FMD,Projetos,44903900,81210000,0,"78447437,84","2762562,16","2762562,16",0,0
2020,7,FMD,Projetos,44903900,0,0,0,"61180284,67","38533975,29","3927816,54","2651153,22"
2020,7,FMD,Projetos,44905100,186530000,"128677006,67",186530000,35385181,35385181,"14322495,75","14322495,75"
2020,7,FMD,Projetos,44903900,12503278,12503278,12503278,0,0,0,0
2020,7,FMD,Projetos,44905100,5000000,0,5000000,0,0,0,0
2020,7,FMD,Projetos,44905100,18090264,0,18090264,0,0,0,0
