Cd_Exercicio,Administracao,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_Liquidado,Vl_Pago
2022,Direta,7,FMD       ,Projetos,33903900,0,0,0,2289653,"355634,76","199742,63"
2022,Direta,7,FMD       ,Projetos,44905200,4557494,2289653,0,2267841,0,0
2022,Direta,7,FMD       ,Projetos,44905100,41777029,0,0,41777029,"1092856,5","1092856,5"
2022,Direta,7,FMD       ,Projetos,44903900,41777030,41777030,0,0,0,0
2022,Direta,7,FMD       ,Projetos,44905100,0,0,0,41777030,"1464850,98","1460071,38"
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44903900,0,0,0,"25987535,57",0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44903900,48613270,"47510437,7",0,"1102832,3","1078803,9","1078803,9"
2022,Direta,7,FMD       ,Projetos,44905100,0,0,0,"47510437,7","1054422,32","1054422,32"
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,16710810,0,0,16710810,0,0
2022,Direta,7,FMD       ,Projetos,44903900,8355405,0,0,8355405,0,0
2022,Direta,7,FMD       ,Projetos,44905100,41777030,0,0,41777030,"12676265,07","11990499,9"
2022,Direta,7,FMD       ,Projetos,44903900,16710812,0,0,16710812,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,26140058,"25987535,57",0,"152522,43",0,0
2022,Direta,7,FMD       ,Projetos,44905100,57400000,0,0,57400000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,7,FMD       ,Projetos,44903900,1000,0,0,1000,0,0
2022,Direta,8,FMID      ,Atividades,33503900,17303051,0,0,17303051,"7399984,36","7399984,36"
2022,Direta,11,SGM       ,Atividades,33903900,9340025,"462406,92",0,"8877618,08","5620182,45","4907913,83"
2022,Direta,11,SGM       ,Atividades,33913900,1700000,0,0,"3303700,87","2013351,35","2013351,35"
2022,Direta,11,SGM       ,Atividades,33901400,100000,0,0,100000,"31143,8","12245,55"
2022,Direta,11,SGM       ,Atividades,33903300,258089,0,0,258089,"31991,04","31991,04"
2022,Direta,11,SGM       ,Atividades,33903900,300000,0,0,300000,"104280,63","104280,63"
2022,Direta,11,SGM       ,Atividades,33678200,1000,0,0,1000,0,0
2022,Direta,11,SGM       ,Atividades,33678200,1000,0,0,1000,0,0
2022,Direta,11,SGM       ,Atividades,33904000,80195,0,0,80195,0,0
2022,Direta,11,SGM       ,Atividades,33904000,1278000,0,0,"1403074,33","736776,73","736776,73"
2022,Direta,11,SGM       ,Atividades,33903900,732750,0,0,"953791,92",590672,529568
2022,Direta,11,SGM       ,Atividades,33903900,1395000,0,0,1395000,372000,325500
2022,Direta,11,SGM       ,Atividades,33903900,82179660,100000,0,184921025,"135961109,97","134679830,82"
2022,Direta,11,SGM       ,Atividades,33903900,1000,0,0,1000,0,0
2022,Direta,11,SGM       ,Atividades,33903900,1000,1000,0,0,0,0
2022,Direta,11,SGM       ,Pessoal,31901600,207243995,"207184501,01",0,"59493,99","59493,99","59493,99"
2022,Direta,11,SGM       ,Pessoal,31901100,1000,1000,0,0,0,0
2022,Direta,11,SGM       ,Pessoal,31901100,4000000,4000000,4000000,0,0,0
2022,Direta,11,SGM       ,Atividades,33903100,10000,10000,0,0,0,0
2022,Direta,11,SGM       ,Atividades,33903600,50000,50000,0,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,100000,86500,0,13500,9750,9750
2022,Direta,11,SGM       ,Atividades,33904700,10000,10000,0,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,1000,1000,0,0,0,0
2022,Direta,11,SGM       ,Atividades,33904800,1000,1000,0,0,0,0
2022,Direta,11,SGM       ,Atividades,33903900,3610461,1058563,0,2551898,"2319823,54","2263558,34"
2022,Direta,11,SGM       ,Atividades,33903900,5353904,"4522552,3",0,"831351,7","303996,77","303996,77"
2022,Direta,11,SGM       ,Atividades,33903900,0,0,0,9965,0,0
2022,Direta,11,SGM       ,Atividades,33904800,742000,0,0,1336230,"831961,93","722263,81"
2022,Direta,11,SGM       ,Projetos,44905100,1000,0,0,1000,0,0
2022,Direta,11,SGM       ,Atividades,33903600,120000,0,0,120000,"56940,15","56940,15"
2022,Direta,11,SGM       ,Atividades,33903900,85000,0,0,85000,0,0
2022,Direta,11,SGM       ,Atividades,33904700,24000,0,0,24000,"2358,6","2358,6"
2022,Direta,11,SGM       ,Atividades,33903900,500000,"226767,97",0,"273232,03",0,0
2022,Direta,11,SGM       ,Atividades,33904000,0,0,0,"182044,84",0,0
2022,Direta,11,SGM       ,Pessoal,31901100,116536912,"53393480,09",0,"63143431,91","41075077,72","41075077,72"
2022,Direta,11,SGM       ,Pessoal,31909600,251661,0,0,"539372,8","206261,27","180973,46"
2022,Direta,11,SGM       ,Atividades,33503900,2160555,0,0,2160555,"406304,05","406304,05"
2022,Direta,11,SGM       ,Atividades,33504100,270000,0,0,270000,"242144,12","242144,12"
2022,Direta,11,SGM       ,Atividades,33504800,473933,0,0,473933,"54331,94","54331,94"
2022,Direta,11,SGM       ,Atividades,33900800,1000,0,0,1000,0,0
2022,Direta,11,SGM       ,Atividades,33901400,300000,0,0,300000,"73820,95","65505,72"
2022,Direta,11,SGM       ,Atividades,33903000,500000,"34225,39",0,"541106,76","98506,55","92394,47"
2022,Direta,11,SGM       ,Atividades,33903300,686712,0,0,"705855,21","228859,53","228236,35"
2022,Direta,11,SGM       ,Atividades,33903500,0,"206581,55",0,"4263418,45",1012473,337491
2022,Direta,11,SGM       ,Atividades,33903600,0,"4429589,6",0,"841095,88","841095,88","841095,88"
2022,Direta,11,SGM       ,Atividades,33903900,18154162,"2869793,71",0,"26743199,28","9932477,71","9075078,44"
2022,Direta,11,SGM       ,Aux�lios,33904600,8683675,"3536308,48",0,"5147366,52","4513627,42","4513627,42"
2022,Direta,11,SGM       ,Atividades,33904800,0,"1403485,44",0,"174206,41","174206,41","174206,41"
2022,Direta,11,SGM       ,Aux�lios,33904900,1540318,"132505,08",0,"1407812,92","268291,64","268291,64"
2022,Direta,11,SGM       ,Atividades,33909200,0,0,0,"10343,01","4665,01","4665,01"
2022,Direta,11,SGM       ,Atividades,33909300,30000,"3665,01",0,"26334,99",8097,8097
2022,Direta,11,SGM       ,Atividades,44905200,500000,"18668,4",0,"522421,87","201260,91","201260,91"
2022,Direta,11,SGM       ,Atividades,33903000,250000,0,0,"411686,33","13770,94","13770,94"
2022,Direta,11,SGM       ,Atividades,33903900,7773329,0,0,7773329,"4679697,5","4529647,46"
2022,Direta,11,SGM       ,Atividades,44905200,300000,0,0,"417606,11","73195,19","27385,27"
2022,Direta,11,SGM       ,Atividades,33903500,9100000,"7263749,28",100000,"1736250,72",0,0
2022,Direta,11,SGM       ,Projetos,44904000,1000,0,0,"8590823,7",0,0
2022,Direta,11,SGM       ,Atividades,33903000,200000,0,0,200000,"17771,65","13808,85"
2022,Direta,11,SGM       ,Atividades,33904000,3000000,2001661,0,"1126327,43","808799,55","644492,61"
2022,Direta,11,SGM       ,Atividades,33909300,0,0,0,1661,0,0
2022,Direta,11,SGM       ,Atividades,44903000,0,0,0,"155086,97",0,0
2022,Direta,11,SGM       ,Atividades,44904000,0,0,0,"111826,69",0,0
