DataInicial,DataFinal,Cd_AnoExecucao,Cd_Exercicio,Administracao,Cd_Orgao,Sigla_Orgao,Ds_Orgao,Cd_Unidade,Ds_Unidade,Cd_Funcao,Ds_Funcao,Cd_SubFuncao,Ds_SubFuncao,Cd_Programa,Ds_Programa,PA,papa,ProjetoAtividade,Ds_Projeto_Atividade,Cd_Despesa,Ds_Despesa,Categoria_Despesa,Ds_Categoria,Grupo_Despesa,Ds_Grupo,Cd_Modalidade,Ds_Modalidade,Cd_Elemento,Cd_Fonte,Ds_Fonte,Cd_Nro_Emenda_Dotacao,Vl_Orcado_Ano,Vl_Suplementado,Vl_Reduzido,Vl_SuplementadoLiquido,Vl_SuplementadoEmTramitacao,Vl_ReduzidoEmTramitacao,Vl_Orcado_Atualizado,Vl_Congelado,Vl_Descongelado,Vl_CongeladoLiquido,Disponivel,Vl_ReservadoLiquido,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago,DataExtracao
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,8,Assistência Social,241,Assistência ao Idoso,3023,Proteção à população em situação de vulnerabilidade,Projetos,Projetos,3013,Projetos de Assistência Social Oriundos de Recursos de Desestatizações e Parcerias,44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,250000000,0,0,0,0,0,250000000,250000000,0,250000000,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1253,"Construção de UBS Vila Gumercindo na parte do terreno cedido pro SMADS localizado à Avenida Ricardo Jafet, 3025",44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,1000000,0,0,0,0,0,1000000,1000000,0,1000000,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1254,Construção da UBS e equipamentos - UBS Primavera/Colorado,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,10,Alienação de Bens/Ativos,,1000000,0,0,0,0,0,1000000,1000000,0,1000000,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1255,Execução da 1 Fase de Construção do Hospital Vila Carrão,44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,1000000,0,0,0,0,0,1000000,1000000,0,1000000,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1256,Projeto Básico de Construção e Instalação do Hospital Veterinário em São Mateus,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,10,Alienação de Bens/Ativos,,2000000,0,0,0,0,0,2000000,2000000,0,2000000,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1257,Criação de Hospital Veterinário - Cidade Ademar,44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,1000000,0,0,0,0,0,1000000,1000000,0,1000000,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1323,"Ampliação, Reforma e Requalificação do Hospital de Campo Limpo",44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,4000000,0,0,0,0,0,4000000,4000000,0,4000000,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1325,"Ampliação, Reforma e Requalificação do Hospital do M'boi Mirim",44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,10,Alienação de Bens/Ativos,,1000000,0,0,0,0,0,1000000,1000000,0,1000000,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1690,Reforma do Posto da UBS/AMA de Saúde da Vila Palmeiras,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,10,Alienação de Bens/Ativos,6108,66937,0,0,0,0,0,66937,66937,0,66937,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1691,Reforma UBS Jardim Guanabara,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,10,Alienação de Bens/Ativos,6109,394190,0,0,0,0,0,394190,394190,0,394190,0,0,0,0,0,2001-01-15
2020-01-01,2020-12-31,2020,2020,Direta,7,FMD,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,10,Saúde,301,Atenção Básica,3003,Ações e serviços da saúde,Projetos,Projetos,1692,Reforma UBS/AMA Vila Barbosa,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,10,Alienação de Bens/Ativos,6110,434778,0,0,0,0,0,434778,434778,0,434778,0,0,0,0,0,2001-01-15
