id_orgao,codigo,disponivel,valor_congelado,despesa,valor_orcado
11391,1,8.7,2.7,39.5,53
28400,2,9,2.9,69.8,64.9
31604,3,13.9,5.7,25.4,96.7
32885,4,14.2,5.2,5.7,169.6
38053,5,16.2,6.5,21.3,195
45462,6,23.6,10.7,22.4,284.5
45642,7,22.5,13.8,87,152.3
52130,8,21.1,12.5,86.2,154.4
53025,9,17.6,10.1,51.7,88.5
57506,10,15.5,7.7,47,85.9
58873,11,9.4,4.3,59.5,67.5
59185,12,7.6,1,42.1,40.8
62155,1,6.8,0.9,64.3,40.1
63400,2,8.9,1.9,58.7,45.7
65002,3,8.1,1.1,26,105.2
70464,4,12.3,3.8,29.5,153.2
71361,5,17.3,7.8,59.5,189.2
74372,6,19.4,10.7,104.3,152.2
75091,7,21.7,12.9,51.9,190.5
77367,8,20.8,13.1,75.2,103.1
91265,9,20,12.1,83.8,134.8
94961,10,14.9,8.3,50.7,94.2
98094,11,9.7,4.4,50.7,40.8
100893,12,8,2.7,85.1,29.6
101781,1,5.7,-1.1,54.8,76.2
102806,2,7.4,1.2,2.4,54.8
102952,3,11.9,4.4,43.8,103.9
104476,4,14.2,6.3,52.9,139.1
106247,5,18.7,8,21.9,221.4
106577,6,22.1,11.1,16.2,231.6
110175,7,24.7,13.3,86.5,276.9
111717,8,24.2,13.7,27.6,240
113295,9,22.7,10.6,5.1,209.2
114017,10,17.8,8.5,46.9,150.1
114999,11,10.8,3.5,53.5,53
116541,12,9.3,3,75.7,30.2
116692,1,6.9,1.8,47.9,34.4
118983,2,7.9,1.6,48,80.1
123044,3,10.2,4.5,33.9,65
127582,4,14.3,4.6,12.4,156.1
129955,5,18.4,9.3,45.6,181.7
132976,6,22.1,12.1,42.8,248.6
134143,7,20.1,12.4,67.2,139.7
135400,8,20.3,11.8,60.8,150.9
137873,9,18.5,10.5,75.3,128.4
141355,10,14.2,8.2,155.5,75.2
141377,11,11.2,4.5,89.5,69.4
142326,12,6.9,2.1,56.5,44.5
144801,1,6.9,1.2,64.4,45.8
145130,2,10.3,4.9,55.1,56
146188,3,13.9,2.9,5.7,166.7
147756,4,15,7.1,50.8,73.5
147793,5,16.8,7.4,17.2,217.2
148993,6,21.7,10.5,29.2,229.3
151358,7,22.1,12.1,26.2,180
155550,8,21.7,12.6,47.6,158.8
155854,9,20.9,12,64.7,125.4
155984,10,15.6,7.6,56.8,117.2
157568,11,9.9,3.5,52.5,55.6
159954,12,6.8,0.2,88.6,46.2
164259,1,7.9,1.2,76.1,67.1
167906,2,7.6,1.4,12.6,67.1
168936,3,7.4,-0.6,35.8,111.4
172112,4,12.7,4.7,41.8,142.7
172797,5,15,7.1,29.6,157.9
174782,6,20.4,9.4,6.1,260.5
175392,7,20.6,12.1,82.8,135
175932,8,20,11.6,52.9,173.6
175991,9,17.8,9.6,88.4,152
180753,10,15.7,7.1,37.6,114.4
181316,11,9.1,3.2,41.7,33.6
183096,12,5,-1.1,52.8,64.1
183947,1,0.8,-4.6,12.9,38.4
184271,2,2.8,-2.2,6.6,72.2
185439,3,10.7,3,68.2,95.9
186149,4,13.6,5.7,52.1,123.2
187100,5,16,6.9,33.7,195.6
188278,6,20.8,11.3,48.3,193.4
189879,7,21.1,11.9,28.1,196.2
192183,8,19.8,11.7,53.4,138.6
200860,9,18,10.1,49,120.9
202635,10,14.8,8.2,34.7,85.4
205350,11,11.8,6,118.8,59.3
205719,12,5.4,0,16.1,44.1
227499,1,5.8,0.4,17.8,37.4
227517,2,7.6,2,16.8,59.2
228082,3,7.6,2.6,95.1,66.8
228222,4,12.8,5.4,73.5,126.1
229179,5,19.6,9.8,46.1,197.8
229361,6,19.3,11.2,110.1,164.1
231554,7,22.8,13.5,20.2,219.7
235507,8,22.3,12.7,21.2,215.7
236284,9,21.1,10.6,11.1,213.7
238007,10,13.7,5.3,29.2,126.2
240712,11,11.2,5.3,29.6,55
240884,12,7.1,0.9,29.9,48.6
241649,1,6.6,1,43,72.8
241729,2,5.9,0.9,8.3,32.5
242793,3,10.5,2.2,58,129.7
246834,4,13.4,4.8,44.8,138.6
248270,5,16.8,8.6,39.5,194.6
255548,6,19.7,11,54.6,184.7
256815,7,19.3,11.7,85.9,129.9
258392,8,20.8,11.9,55.9,184.7
258894,9,17.4,9.2,109.4,130
260355,10,16.2,7.5,18.8,129.1
262011,11,8.4,2.2,65.4,96.5
262934,12,8.4,1.7,87.3,54
268073,1,5.3,1,32.6,40.8
268733,2,9.3,4.4,73.4,27
271251,3,10.9,2.6,12.2,122.6
277880,4,12.2,5.4,98.6,88.7
279572,5,17,7.5,50.5,222.9
281022,6,21.8,12.2,66.7,205.4
281250,7,20.1,12.2,78,161.6
282821,8,20.6,11.6,86.2,199.7
286488,9,19.6,10.8,36.7,161.4
287548,10,14.7,8.6,122.1,81.3
290201,11,8.8,2.9,41.7,59.3
290757,12,9.3,2.2,62.5,36.3
291334,1,7.3,2.1,36.4,66.1
294570,2,9.3,2.6,48.6,89.5
294594,3,11.6,3.7,35.7,172.9
295741,4,12.5,4.4,44.1,138.2
296332,5,15.6,7.8,102.1,183.6
298696,6,20.1,10.3,51,210
300398,7,23.5,13.8,73.5,239.5
302302,8,21.5,12.7,47.4,182.9
305152,9,18.5,11.1,59.5,118.6
305386,10,15,8.8,103.8,99.1
306107,11,9.7,2.6,42.3,78.7
306466,12,7.2,1.3,54,61.3
306897,1,7.2,1.3,65.1,43
307061,2,5.7,0.2,25.3,67.2
307866,3,11.1,3.5,22.6,142.3
311917,4,13.7,4.4,44.2,188.4
312537,5,15.4,7,80.8,170.8
312782,6,20.6,11.5,54.9,172.5
318933,7,20.7,12.6,79.4,146.7
319047,8,20.2,12.6,68.2,121.1
321942,9,18.8,11.6,131.4,125.6
324002,10,16.5,10.7,64.2,78.5
324084,11,9.5,4.8,44.3,40.7
324282,12,5.4,1,74.9,30.7
331358,1,8.9,3.4,71.7,32.4
332789,2,4.9,-0.9,45,70.5
333059,3,8,1.3,56,66.8
333323,4,13.6,3.9,20.3,207.6
334259,5,17.1,8.6,59.5,149.1
334333,6,20.6,10.2,26.6,262.8
335764,7,23.9,13.9,68.7,229.2
336207,8,21.8,13.6,93,141.3
339972,9,19.6,11.7,3.1,118.5
341872,10,18.2,9.9,5.1,117.3
342007,11,9.6,3.3,68.7,71.1
342514,12,6.1,1.4,46.1,18.5
342972,1,7.1,2.1,67.7,31.9
343446,2,7.2,0.8,39.9,105.5
344282,3,8.1,0.7,37.6,99.7
345068,4,11.4,3.7,59.5,122.7
345357,5,19.2,9.2,25.1,219.2
346025,6,23.6,12.7,70.1,273.3
350188,7,21.3,12.3,53,181.3
357668,8,22.3,13,53.6,184.3
364177,9,20.3,11.4,49.8,157
365244,10,15.7,8.1,10.4,100.9
365642,11,11.9,5.5,151.2,59.8
366483,12,7,1.7,38.5,45.3
368194,1,7.8,2.8,70.5,42.5
368824,2,8.6,1.9,16.6,72.6
368963,3,9.1,2.3,42.4,104.7
376439,4,12.2,4.8,47.3,121.5
376581,5,18.1,8.2,76.7,232.9
380953,6,17.8,10.1,127.7,145.4
383254,7,24.1,13.8,19.3,224.1
386924,8,21.3,13.5,64.4,147.5
386952,9,20.7,10.2,11.1,173.9
388722,10,17.2,8.1,57.6,147
388885,11,10.4,3,63.9,96.3
390890,12,9.3,4.5,21,31.4
392756,1,6.9,2.1,55.3,40.9
392931,2,7.9,2.6,43.4,35
393207,3,12.4,3.3,54,144.5
396872,4,12.9,5.7,38.3,120.8
398552,5,16,7.6,25.9,171.7
401869,6,17.5,9,15.4,166.3
402470,7,22.3,12.7,27.2,151.4
404804,8,21.8,12.1,15.4,190
405088,9,17.3,9,27.6,117.5
414117,10,15.6,8.5,17.3,112.7
415969,11,9.9,3.2,57.7,78
420087,12,9.4,3.5,66.7,56.5
429958,1,7.3,2,13.1,28
441018,2,8.1,0.7,12.5,66
441888,3,11.5,2.2,10.4,138.1
442442,4,12.5,3.9,58.1,140.5
444677,5,16.9,8.6,54.2,167.2
470588,6,21.9,11.6,68.8,254.5
489455,7,21.4,12.7,49.1,173.7
495284,8,23.7,13.8,40.9,189.1
498857,9,20.7,11.6,60.7,180.4
508818,10,13.9,6.1,38.6,98.9
512460,11,10.3,2.5,26.6,87
544103,12,8.6,2.1,52.3,59.6
550383,1,9.6,3.6,53,46
564450,2,9.2,3,57.8,67.2
568601,3,10.3,2.8,27.2,101.3
572652,4,14,4.7,15.2,159.3
580389,5,17,7.5,22.4,196.4
588775,6,20.1,10.6,67.2,201.7
591774,7,20.9,12.5,29.8,187.7
603861,8,21.5,12.1,67.8,190.3
606143,9,17.5,9.5,140,156
704156,10,11,5,71.9,89.1
705379,11,10.6,5,142.8,42.7
721259,12,11,5.6,34.4,52.6
749412,1,10.3,4.5,92.3,38
760729,2,9.3,1.9,23,79.1
905042,3,8.4,2.8,69.7,66.9
949618,4,13.3,5,43.6,133.4
958987,5,15.1,6.9,62.9,149.8
968578,6,21.8,10.4,23.2,293.7
969076,7,24.1,14.1,36.3,217.3
971027,8,25.9,15,13.3,226
978739,9,19.5,10.6,111.2,144.1
1035023,10,14.4,7,23.2,111.6
1105478,11,10.1,3.2,58,78.8
1352868,12,7.6,1.5,29.1,40.3
1401935,1,8.8,3,13.9,68.3
1402638,2,7.8,2.3,21.1,39.7
1414443,3,9.5,2,11.3,127.1
1465690,4,13.7,4.3,9.9,182.3
1472925,5,19.3,8.9,19.3,209.2
1488959,6,25.5,13.7,6.3,261.2
1518989,7,26.6,14.9,15.4,263.5
1618738,8,25.1,13.2,16.4,263.7
1620151,9,19,11.2,96.6,118.9
1626710,10,14.9,8.8,93,61.4
1640609,11,9.9,3.5,81.7,60.1
1686521,12,5.6,-0.2,72.3,57.4
1729319,1,6.1,0.8,63.5,38.2
1746134,2,9.6,3.4,65.3,83.3
1758449,3,11.2,4.5,56.8,105.1
1765788,4,12.2,4.1,32.7,151.1
1801229,5,16.4,7.2,37.3,210.5
1801641,6,17.4,9.6,52.4,134.8
1847830,7,22.4,12.7,10.4,210.4
1860318,8,20.3,13,150.3,135.8
1889511,9,18,10.7,15.3,117.5
1889577,10,16.3,9,48.1,113.8
1894188,11,10.4,4.6,51.3,88.4
1938355,12,9.2,4.1,55.5,37.1
