sigla,codigo,id_orgao,papa,administracao,disponivel,subFuncao,despesa,credito,funcao
FMD       ,2020J,11391,INVESTIMENTOS,Direta,4,122,0,240,Administração
FMD       ,2020J,28400,INVESTIMENTOS,Direta,4,122,0,60,Administração
FMD       ,2020J,30268,INVESTIMENTOS,Direta,4,181,0,60,Segurança Pública
FMD       ,2020J,31604,INVESTIMENTOS,Direta,4,181,0,60,Segurança Pública
FMD       ,2020J,32885,INVESTIMENTOS,Direta,4,181,0,60,Segurança Pública
FMD       ,2020J,38053,INVESTIMENTOS,Direta,4,181,0,60,Segurança Pública
FMD       ,2020J,45462,INVESTIMENTOS,Direta,5,181,0,60,Segurança Pública
FMD       ,2020J,45642,INVESTIMENTOS,Direta,5,181,0,120,Segurança Pública
FMD       ,2020J,52130,INVESTIMENTOS,Direta,4,183,0,90,Segurança Pública
FMD       ,2020J,53025,INVESTIMENTOS,Direta,4,183,0,60,Segurança Pública
FMD       ,2020J,57506,INVESTIMENTOS,Direta,4,183,0,60,Segurança Pública
FMD       ,2020J,58873,INVESTIMENTOS,Direta,4,183,0,60,Segurança Pública
FMD       ,2020J,59185,INVESTIMENTOS,Direta,5,183,0,60,Segurança Pública
FMD       ,2020J,62155,INVESTIMENTOS,Direta,5,183,0,60,Segurança Pública
FMD       ,2020J,63400,INVESTIMENTOS,Direta,4,241,0,60,Assistência Social
FMD       ,2020J,65002,INVESTIMENTOS,Direta,4,241,0,60,Assistência Social
FMD       ,2020J,70464,INVESTIMENTOS,Direta,4,241,0,60,Assistência Social
FMD       ,2020J,71361,INVESTIMENTOS,Direta,4,241,0,60,Assistência Social
FMD       ,2020J,74372,INVESTIMENTOS,Direta,5,241,0,150,Assistência Social
FMD       ,2020J,75091,INVESTIMENTOS,Direta,5,241,0,60,Assistência Social
FMD       ,2020J,77367,INVESTIMENTOS,Direta,4,242,0,60,Assistência Social
FMD       ,2020J,91265,INVESTIMENTOS,Direta,4,242,0,60,Assistência Social
FMD       ,2020J,94961,INVESTIMENTOS,Direta,4,242,0,60,Assistência Social
FMD       ,2020J,98094,INVESTIMENTOS,Direta,4,242,0,60,Assistência Social
FMD       ,2020J,100893,INVESTIMENTOS,Direta,5,242,0,60,Assistência Social
FMD       ,2020J,101781,INVESTIMENTOS,Direta,5,242,0,60,Assistência Social
FMD       ,2020J,102806,INVESTIMENTOS,Direta,4,243,0,60,Assistência Social
FMD       ,2020J,102952,INVESTIMENTOS,Direta,4,243,0,60,Assistência Social
FMD       ,2020J,104476,INVESTIMENTOS,Direta,4,243,0,60,Assistência Social
FMD       ,2020J,106247,INVESTIMENTOS,Direta,4,243,0,60,Assistência Social
FMD       ,2020J,106577,INVESTIMENTOS,Direta,4,243,0,60,Assistência Social
FMD       ,2020J,110175,INVESTIMENTOS,Direta,5,243,0,60,Assistência Social
FMD       ,2020J,111717,INVESTIMENTOS,Direta,5,243,0,60,Assistência Social
FMD       ,2020J,113295,INVESTIMENTOS,Direta,4,244,0,60,Assistência Social
FMD       ,2020J,114017,INVESTIMENTOS,Direta,4,244,0,60,Assistência Social
