sigla,codigo,id_orgao,disponivel,despesa
FMD       ,2020J,11391,-159,
FMD       ,2020J,28400,-53,
FMD       ,2020J,30268,-92,12
FMD       ,2020J,31604,-52,
FMD       ,2020J,32885,-176,
FMD       ,2020J,38053,-110,
FMD       ,2020J,45462,-67,
FMD       ,2020J,45642,-29,
FMD       ,2020J,52130,-33,
FMD       ,2020J,53025,-179,
FMD       ,2020J,57506,-103,
FMD       ,2020J,58873,-47,
FMD       ,2020J,59185,-59,
FMD       ,2020J,62155,-68,
FMD       ,2020J,63400,-67,
FMD       ,2020J,65002,-180,96
FMD       ,2020J,70464,-95,
FMD       ,2020J,71361,-130,
FMD       ,2020J,74372,-50,
FMD       ,2020J,75091,-107,
FMD       ,2020J,77367,-27,
FMD       ,2020J,91265,-31,
FMD       ,2020J,94961,-170,72
FMD       ,2020J,98094,-107,
FMD       ,2020J,100893,-62,
FMD       ,2020J,101781,-103,
FMD       ,2020J,102806,-107,
FMD       ,2020J,102952,-100,
FMD       ,2020J,104476,-109,
FMD       ,2020J,106247,5,175
FMD       ,2020J,106577,-107,
FMD       ,2020J,110175,-110,
FMD       ,2020J,111717,-43,
FMD       ,2020J,113295,-26,
FMD       ,2020J,114017,-29,
FMD       ,2020J,114999,-68,
FMD       ,2020J,116541,-68,
FMD       ,2020J,116692,-32,
FMD       ,2020J,118983,-99,
FMD       ,2020J,123044,-82,
FMD       ,2020J,127582,-31,
FMD       ,2020J,129955,-197,135
FMD       ,2020J,132976,-75,
FMD       ,2020J,134143,-96,
FMD       ,2020J,135335,-29,30
FMD       ,2020J,135400,-32,144
FMD       ,2020J,137873,-195,
FMD       ,2020J,141355,-61,
FMD       ,2020J,141377,-110,129
FMD       ,2020J,142326,-37,
FMD       ,2020J,144801,-67,
FMD       ,2020J,145130,-36,
FMD       ,2020J,146188,-132,
FMD       ,2020J,147756,-92,
FMD       ,2020J,147793,-138,58
FMD       ,2020J,148993,-174,158
FMD       ,2020J,151358,-44,
FMD       ,2020J,155550,-16,
FMD       ,2020J,155854,-54,
FMD       ,2020J,155984,-64,191
FMD       ,2020J,157568,-52,
FMD       ,2020J,159954,-46,123
FMD       ,2020J,164259,-64,
FMD       ,2020J,167906,-117,
FMD       ,2020J,168936,-32,
FMD       ,2020J,172112,-50,
FMD       ,2020J,172797,-45,
FMD       ,2020J,174782,-162,
FMD       ,2020J,175392,-195,
FMD       ,2020J,175932,-92,
FMD       ,2020J,175991,-57,
FMD       ,2020J,180753,-64,
FMD       ,2020J,181316,-39,60
FMD       ,2020J,183096,-128,
FMD       ,2020J,183947,-32,
FMD       ,2020J,184271,-74,
FMD       ,2020J,185439,-12,
FMD       ,2020J,186149,-109,
FMD       ,2020J,187100,-136,
FMD       ,2020J,188278,-57,60
FMD       ,2020J,189879,-180,
FMD       ,2020J,192183,-62,
FMD       ,2020J,195262,-45,185
FMD       ,2020J,200860,-54,
FMD       ,2020J,202635,-73,166
FMD       ,2020J,205350,-68,
FMD       ,2020J,205719,-51,
FMD       ,2020J,227499,-169,
FMD       ,2020J,227517,-172,
FMD       ,2020J,228082,-31,
FMD       ,2020J,228222,-108,
FMD       ,2020J,229179,-165,
FMD       ,2020J,229361,-58,
FMD       ,2020J,231554,-29,
FMD       ,2020J,235507,-79,109
FMD       ,2020J,236284,2,
FMD       ,2020J,238007,-151,
FMD       ,2020J,240712,-45,
FMD       ,2020J,240884,-47,
FMD       ,2020J,241649,-50,
FMD       ,2020J,241729,-31,
FMD       ,2020J,242793,-36,
FMD       ,2020J,246834,-16,
FMD       ,2020J,248270,-198,
FMD       ,2020J,255548,-103,
FMD       ,2020J,256815,-117,
FMD       ,2020J,258392,-68,
FMD       ,2020J,258894,-172,
FMD       ,2020J,260355,-186,170
FMID      ,2020J,262011,-145,
FMID      ,2020J,262934,-191,
FMID      ,2020J,268073,-33,
FMID      ,2020J,268733,-17,187
FMID      ,2020J,271251,-68,
FMID      ,2020J,277880,-108,177
SGM       ,2020J,279572,-138,
SGM       ,2020J,281022,-74,
SGM       ,2020J,281250,-64,
SGM       ,2020J,281589,-50,
SGM       ,2020J,282821,-107,
SGM       ,2020J,286488,-8,
SGM       ,2020J,287548,-52,
SGM       ,2020J,290201,-96,
SGM       ,2020J,290757,-141,
SGM       ,2020J,291334,-132,
SGM       ,2020J,292923,-162,-121
SGM       ,2020J,293699,-27,
SGM       ,2020J,294570,-80,
SGM       ,2020J,294594,-145,
SGM       ,2020J,295741,-17,
SGM       ,2020J,296332,-115,
SGM       ,2020J,298696,-32,
SGM       ,2020J,300398,-59,
SGM       ,2020J,302302,-83,
SGM       ,2020J,305152,-18,
SGM       ,2020J,305386,-66,
SGM       ,2020J,305539,-54,-3
SGM       ,2020J,306107,-107,
SGM       ,2020J,306466,-58,
SGM       ,2020J,306897,-123,
SGM       ,2020J,307061,-31,
SGM       ,2020J,307866,-107,
SGM       ,2020J,311917,-121,
SGM       ,2020J,312537,-79,
SGM       ,2020J,312782,-59,
SGM       ,2020J,318933,-100,
SGM       ,2020J,319047,-47,
SGM       ,2020J,321942,-67,
SGM       ,2020J,324002,-32,
SGM       ,2020J,324084,-165,
SGM       ,2020J,324282,-32,
SGM       ,2020J,331358,-67,53
SGM       ,2020J,332789,-64,
SGM       ,2020J,333059,-103,
SGM       ,2020J,333323,-53,
SGM       ,2020J,334259,-32,
SGM       ,2020J,334333,-192,65
SGM       ,2020J,335764,-196,160
SGM       ,2020J,336207,-110,
SGM       ,2020J,339972,-57,
SGM       ,2020J,341872,48,
SGM       ,2020J,342007,-71,51
SGM       ,2020J,342514,-81,
SGM       ,2020J,342972,-60,
SGM       ,2020J,343446,-49,
SGM       ,2020J,344282,-12,
SGM       ,2020J,345068,-37,
SGM       ,2020J,345357,-18,
SGM       ,2020J,346025,-75,
SGM       ,2020J,346843,-44,
SGM       ,2020J,350188,-49,
SGM       ,2020J,354858,-32,5
SGM       ,2020J,357668,-38,
SGM       ,2020J,364177,-129,
SGM       ,2020J,365244,-38,
SGM       ,2020J,365642,-52,
SGM       ,2020J,366483,-4,
SGM       ,2020J,368194,-123,
SGM       ,2020J,368824,-60,
SGM       ,2020J,368963,-19,
SGM       ,2020J,376439,-87,
SGM       ,2020J,376581,-64,
SGM       ,2020J,380953,-155,
SGM       ,2020J,383254,-61,
SGM       ,2020J,386924,-192,
SGM       ,2020J,386952,-38,
SGM       ,2020J,388722,-179,
SGM       ,2020J,388885,-185,
SGM       ,2020J,390890,-31,202
SGM       ,2020J,392756,-58,
SGM       ,2020J,392931,-54,
SGM       ,2020J,393207,-38,
SGM       ,2020J,396872,-23,
SGM       ,2020J,398552,-57,
SGM       ,2020J,401869,-53,
SGM       ,2020J,402470,-130,
SGM       ,2020J,404804,-129,
SGM       ,2020J,405088,-67,
SGM       ,2020J,405961,-170,-100
SGM       ,2020J,414117,-73,
SGM       ,2020J,415969,-60,172
SMSUB     ,2020J,420087,-15,
SMSUB     ,2020J,429958,-58,
SMSUB     ,2020J,441018,-52,
SMSUB     ,2020J,441888,-53,
SMSUB     ,2020J,442442,-32,119
SMSUB     ,2020J,444677,-38,
SMSUB     ,2020J,470588,-43,73
SMSUB     ,2020J,489455,-120,
SMSUB     ,2020J,494424,-38,
SMSUB     ,2020J,495284,-29,
SMSUB     ,2020J,498857,-16,
SMSUB     ,2020J,508818,-156,
SMSUB     ,2020J,512460,-32,
SMSUB     ,2020J,544103,-127,
SMSUB     ,2020J,550383,-51,
SMSUB     ,2020J,564450,-43,
SMSUB     ,2020J,568601,-30,128
SMSUB     ,2020J,572652,-158,
SMSUB     ,2020J,580389,-22,
SMSUB     ,2020J,581129,-38,
SMSUB     ,2020J,588775,-17,
SMSUB     ,2020J,591774,-46,
SMSUB     ,2020J,603861,-38,241
SMSUB     ,2020J,606143,-43,
SMSUB     ,2020J,704156,-29,
SMSUB     ,2020J,705379,-57,
SMSUB     ,2020J,721259,-73,23
SMSUB     ,2020J,749412,-138,
SMSUB     ,2020J,760729,-67,
SMSUB     ,2020J,905042,-91,
SMSUB     ,2020J,949618,-59,
SMSUB     ,2020J,958987,-67,
SMSUB     ,2020J,968578,-170,
SMSUB     ,2020J,969076,-42,173
SMSUB     ,2020J,971027,-62,
SMSUB     ,2020J,978739,-108,
SMSUB     ,2020J,1035023,-87,
SMSUB     ,2020J,1105478,-144,
SMSUB     ,2020J,1352868,-63,203
SMSUB     ,2020J,1401935,-35,
SMSUB     ,2020J,1402638,-195,
SMSUB     ,2020J,1414443,-169,
SMSUB     ,2020J,1456619,-87,27
SMSUB     ,2020J,1465690,-38,
SMSUB     ,2020J,1472925,20,
SMSUB     ,2020J,1488959,-30,
SMSUB     ,2020J,1518989,-102,
SMSUB     ,2020J,1618738,-95,
SMSUB     ,2020J,1620151,-95,
SMSUB     ,2020J,1626710,-195,
SMSUB     ,2020J,1640609,-191,
SMSUB     ,2020J,1686521,-124,37
SMSUB     ,2020J,1729319,-106,
SMSUB     ,2020J,1746134,-30,
SMSUB     ,2020J,1758449,-198,103
SMSUB     ,2020J,1763015,-58,-2
SMSUB     ,2020J,1765788,-43,
SMSUB     ,2020J,1801229,-106,
SMSUB     ,2020J,1801641,-32,
SMSUB     ,2020J,1847830,-164,
SMSUB     ,2020J,1860318,-53,
SMSUB     ,2020J,1889511,-42,
SMSUB     ,2020J,1889577,-81,
SMSUB     ,2020J,1894188,-57,
SMSUB     ,2020J,1938355,-102,
SMSUB     ,2020J,1942396,-29,
SMSUB     ,2020J,1970390,-108,240
SMSUB     ,2020J,1976139,-195,
SMSUB     ,2020J,2011876,-32,
SMSUB     ,2020J,2012966,-102,
SMSUB     ,2020J,2051699,-137,
SMSUB     ,2020J,2062879,-74,
SMSUB     ,2020J,2065691,-16,138
SMSUB     ,2020J,2073016,-65,173
SMSUB     ,2020J,2080474,-123,
SMSUB     ,2020J,2083877,-45,
SMSUB     ,2020J,2084066,-148,
SMSUB     ,2020J,2104505,-65,
SMSUB     ,2020J,2122180,-35,
SMSUB     ,2020J,2139353,-59,163
SMSUB     ,2020J,2143752,-46,
SMSUB     ,2020J,2146792,-59,
SMSUB     ,2020J,2149225,-36,10
SMSUB     ,2020J,2153153,-49,
SMSUB     ,2020J,2155014,-32,
SMSUB     ,2020J,2164705,-43,
SMSUB     ,2020J,2171627,-50,
SG        ,2020J,2182846,-113,
SG        ,2020J,2194100,-108,
SG        ,2020J,2197016,-35,
SG        ,2020J,2208424,-66,
SG        ,2020J,2229865,-116,
SG        ,2020J,2255601,-28,175
SG        ,2020J,2268379,-74,
SG        ,2020J,2278464,-129,
SG        ,2020J,2293923,-85,
SG        ,2020J,2312620,-45,178
SG        ,2020J,2318055,-56,-19
SG        ,2020J,2324976,-101,-50
SG        ,2020J,2329342,-56,
SG        ,2020J,2339528,-57,
SG        ,2020J,2342426,-38,
SG        ,2020J,2344901,-24,
SG        ,2020J,2358056,-102,
SG        ,2020J,2358969,-53,58
SG        ,2020J,2364471,-80,
SG        ,2020J,2365101,-129,-80
SG        ,2020J,2367155,-22,
SG        ,2020J,2369266,-94,
SG        ,2020J,2376496,-185,
SG        ,2020J,2391984,-101,242
SG        ,2020J,2411661,-17,
SG        ,2020J,2411778,-35,220
SG        ,2020J,2412002,-38,
SG        ,2020J,2412967,-73,
SG        ,2020J,2429854,-52,114
SG        ,2020J,2437837,-53,
SG        ,2020J,2449878,-32,
SG        ,2020J,2456480,-71,
SG        ,2020J,2457256,-50,
SG        ,2020J,2458355,-81,
SG        ,2020J,2460080,-52,
SG        ,2020J,2461190,-11,
SG        ,2020J,2469673,-22,
SG        ,2020J,2470694,-106,219
SEHAB     ,2020J,2479954,-46,
SEHAB     ,2020J,2481901,-195,
SEHAB     ,2020J,2482700,-59,
SEHAB     ,2020J,2486127,-144,
SEHAB     ,2020J,2498700,-43,
SEHAB     ,2020J,2516503,-65,
SEHAB     ,2020J,2518069,-105,
SEHAB     ,2020J,2521459,-158,
SEHAB     ,2020J,2523736,-46,
SEHAB     ,2020J,2529279,-67,
SEHAB     ,2020J,2532302,-65,
SEHAB     ,2020J,2536991,-87,
SEHAB     ,2020J,2542724,-59,13
SEHAB     ,2020J,2550279,-153,
SEHAB     ,2020J,2551220,-94,
SEHAB     ,2020J,2552472,-38,199
SEHAB     ,2020J,2555340,-67,
SEHAB     ,2020J,2557283,-80,
SEHAB     ,2020J,2559575,-31,
SEHAB     ,2020J,2562034,-30,
SEHAB     ,2020J,2566163,-91,
SEHAB     ,2020J,2566592,-35,
SEHAB     ,2020J,2569324,-81,93
SEHAB     ,2020J,2574528,-16,
SEHAB     ,2020J,2574583,-63,
SEHAB     ,2020J,2576122,-137,39
SEHAB     ,2020J,2578995,-62,
SEHAB     ,2020J,2586560,-94,
SEHAB     ,2020J,2594139,-74,
SEHAB     ,2020J,2598871,-128,
SEHAB     ,2020J,2599352,-106,
SEHAB     ,2020J,2600688,-165,
SEHAB     ,2020J,2606098,-102,
SEHAB     ,2020J,2613116,-63,
