Cd_Orgao,Administracao,Sigla_Orgao,Ds_Orgao,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Disponivel,Vl_Congelado,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago
1,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000000,0,1000000,0,0,0,0
2,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,10000000,8500000,1500000,0,0,0,0
3,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000000,0,0,1000000,0,0,0
4,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
5,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
6,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
7,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
8,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
9,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
10,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
11,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
12,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
13,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
14,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
15,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
16,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,2000000,0,0,2000000,0,0,0
17,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
18,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
19,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
20,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
21,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
22,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
23,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
24,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
25,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
26,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
27,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
28,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
29,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
30,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
31,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
32,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
33,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000000,0,0,1000000,0,0,0
34,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
35,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
36,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
37,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
38,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,5000000,0,5000000,0,0,0,0
39,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,18425029,0,18425029,0,0,0,0
40,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
41,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44905100,1000,0,0,1000,0,0,0
42,Direta,FMD,Fundo Municipal de Desenvolvimento Social,44903900,1000,0,0,1000,0,0,0
43,Direta,FMID,Fundo Municipal do Idoso,44905100,1000,0,0,1000,0,0,0
44,Direta,FMID,Fundo Municipal do Idoso,44905100,20000000,0,20000000,0,0,0,0
45,Direta,FMID,Fundo Municipal do Idoso,44905100,15600000,0,15600000,0,0,0,0
46,Direta,FMID,Fundo Municipal do Idoso,44905100,1000,0,0,1000,0,0,0
47,Direta,FMID,Fundo Municipal do Idoso,44903900,9500000,9500000,0,0,0,0,0
48,Direta,SGM,Secretaria do Governo Municipal,44905100,154004719,"34342690,9","119662028,1",0,0,0,0
49,Direta,SGM,Secretaria do Governo Municipal,44903900,500000,0,0,500000,0,0,0
50,Direta,SGM,Secretaria do Governo Municipal,44903900,0,0,"26704094,31",0,"26704094,31","26412044,81","26412044,81"
51,Direta,SGM,Secretaria do Governo Municipal,44903900,0,0,11115887,0,11115887,"10493485,5","10334291,54"
52,Direta,SGM,Secretaria do Governo Municipal,44905100,397607502,"26704094,31","370903407,69",0,0,0,0
53,Direta,SGM,Secretaria do Governo Municipal,44905100,6500000,0,0,6500000,0,0,0
54,Direta,SGM,Secretaria do Governo Municipal,44903900,8000000,0,0,8000000,0,0,0
55,Direta,SGM,Secretaria do Governo Municipal,44903900,1000,0,0,1000,0,0,0
56,Direta,SGM,Secretaria do Governo Municipal,44905100,1000,0,0,1000,0,0,0
57,Direta,SGM,Secretaria do Governo Municipal,44903900,1000,0,0,1000,0,0,0
58,Direta,SGM,Secretaria do Governo Municipal,44905100,1000,0,0,1000,0,0,0
